ZipCode,State,County,May5CovidRestrictionsRank,May19CovidRestrictionsRank,CovidRestrictionsCategorical,HitDateByState(June26),Population,NumericalRestriction,DateBeginRestrictions,CovidImpactCategorical,Covid.per.10.000,NumCovidCases(Mid/late June),AreaName,PVI,District,PVI#,NumSocSec65,PropSocSec65,LandSqMi,PopDensity,PopDensityCategorical,MedianAge,MedianHouseholdIncome,MedHouseIncomeCategorical,PercentPoverty,PercentWhite,RaceCategorical,Race,PercentBlack,PercentAsian,PercentHispanic,PercentAmericanIndians,TotalRace,HousingCategorical,RUCA2,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
61087,IL,Jo Daviess,48,51,High,Mid,1493,37,3/16/2020,Very Low,1.00,1-4,Warren,D+3,IL-17,3,325,0.2177,29.8,50.10,Low,49.5,56466,Mid,10.3,93.1,White,White,0,0,2.1,0,95.2,Very Low,10.6,67065,67154,67213,67298,67469,67473,67416,67334,67340,67653,68089,68465,68619,68944
61238,IL,Henry,48,51,High,Mid,3534,37,3/16/2020,Very Low,1.00,1-4,Cambridge,D+3,IL-17,3,605,0.1712,103.5,34.14,Low,42,62132,Mid,8.4,95.6,White,White,2.3,0,1.3,0,99.2,Low,10.1,111841,112188,112729,112999,113185,113406,113466,113566,113577,113446,113212,113134,113012,112872
61318,IL,Lee,48,51,High,Mid,845,37,3/16/2020,Very Low,1.00,1-4,Compton,R+8,IL-16,-8,100,0.1183,34.6,24.42,Low,37.1,51477,Mid,12.7,76.2,Mostly White,White,1.9,0,20,0,98.1,Very Low,3,94518,94652,94901,94956,95033,95035,95000,95252,95551,96013,96488,96766,96860,96709
61453,IL,Warren,48,51,High,Mid,578,37,3/16/2020,Very Low,1.00,1-4,Little York,D+3,IL-17,3,90,0.1557,57.2,10.10,Low,39.1,51875,Mid,9.4,91.2,White,White,0,6.4,0,0,97.6,Very Low,6,73022,73796,74683,75351,75624,75832,75927,76122,76355,76769,77172,77482,77439,76957
61615,IL,Peoria,48,51,High,Mid,23168,37,3/16/2020,Low,14.68,34,Alta/peoria,D+3/R+15,IL-17/18,-6,"3,970",0.1714,31.6,733.16,Mid,37.1,67908,Mid,11.1,64.3,Majority White,White,15.6,8.9,0,0,88.8,Low,1,156879,157248,157192,157171,157262,157526,157767,158033,158203,158520,158940,159264,159549,159913
61753,IL,Mclean,48,51,High,Mid,3058,37,3/16/2020,Very Low,1.00,1-4,Lexington,R+15,IL-18,-15,480,0.1570,85.1,35.93,Low,41.1,65547,Mid,6.4,98.1,White,White,1,0,0.4,0,99.5,Low,2,145387,145143,145245,145152,145674,146125,146957,147268,147081,147133,147135,147615,147869,148262
61769,IL,Livingston,48,51,High,Mid,621,37,3/16/2020,Very Low,1.00,1-4,Saunemin,R+8,IL-16,-8,85,0.1369,37.9,16.39,Low,43.1,60000,Mid,12.8,83.7,Mostly White,White,0,4.2,8.4,0,96.3,Very Low,10.5,80303,80485,80749,81115,81403,81588,81825,82013,82032,82096,82142,82218,82219,82117
61821,IL,Champaign,48,51,High,Mid,30582,37,3/16/2020,Mid,46.43,142,Champaign,R+3,IL-13,-3,"3,745",0.1225,7.5,4077.60,High,35.3,55743,Mid,15.8,62.9,Majority White,White,23.7,0,5.7,0,92.3,Low,1,130277,130142,130449,130666,131074,131156,131666,131972,132593,132625,132323,132504,132843,133296
62031,IL,Jersey,48,51,High,Mid,749,37,3/16/2020,Very Low,1.00,1-4,Fieldon,R+3,IL-13,-3,175,0.2336,57.5,13.03,Low,51.6,50625,Mid,11.2,96.1,White,White,0,0,2.1,0,98.2,Very Low,7.3,81013,81572,82632,83668,84138,84278,84107,84111,84170,84349,84643,84828,84879,84476
62054,IL,Greene,48,51,High,Mid,781,37,3/16/2020,Very Low,1.00,1-4,Kane,R+3,IL-13,-3,140,0.1793,38.9,20.08,Low,45.7,48125,Low,9.7,90.7,White,White,0,0,2.9,0,93.6,Low,10.5,109875,110454,110756,111146,111477,112010,112402,112876,113020,113106,113458,113567,113521,113440
62612,IL,Cass,48,51,High,Mid,1799,37,3/16/2020,Very Low,1.00,1-4,Ashland,R+15,IL-18,-15,320,0.1779,90,19.99,Low,48,65244,Mid,5.5,97.7,White,White,0,0,0.9,0,98.6,Low,2,95406,95888,96030,96275,96731,97159,97482,97881,98483,99312,100187,100866,101427,101451
62814,IL,Jefferson,48,51,High,Mid,1945,37,3/16/2020,Very Low,1.00,1-4,Bluford,R+5/R+21,IL-12/15,-13,330,0.1697,70.8,27.47,Low,39.2,53125,Mid,12.3,96.9,White,White,0,0,0.6,0,97.5,Very Low,5,84492,84840,85415,85394,85466,85599,85652,86118,86629,86928,87052,87350,87781,87915
62939,IL,Johnson,48,51,High,Mid,3111,37,3/16/2020,Mid,32.14,10,Goreville,R+21,IL-15,-21,695,0.2234,43.9,70.87,Low,46.9,63355,Mid,9.8,98.9,White,White,0,0,1.1,0,100,Low,10.5,113975,113526,113644,113836,114640,115145,115173,115184,115163,115143,115164,115200,115205,115540
62953,IL,Massac,48,51,High,Mid,313,37,3/16/2020,Very Low,1.00,1-4,Joppa,R+21,IL-15,-21,50,0.1597,0.9,347.78,Mid,40.3,25455,Very Low,48.7,89.1,White,White,7.3,0,0,0,96.4,Very Low,8,17500,17348,17428,17564,17619,17603,17569,17544,17438,17421,17336,17400,17430,17467
